Country,Year,Total GHG Emissions Including Land-Use Change and Forestry (MtCO_e_),GDP-USD (Million US$ (2005)),Population (People),GHG per Capita,GDP per Capita
Mozambique,1998,57.36,3944,17350739,3.31,227.31
Myanmar,1998,179.05,5799,47321204,3.78,122.55
Namibia,1998,17.35,5335,1809719,9.59,2947.97
Nauru,1998,0.12,24,10647,11.40,2254.16
Nepal,1998,63.18,6206,22175431,2.85,279.86
Netherlands,1998,222.54,580868,15707209,14.17,36980.98
New Zealand,1998,51.90,87242,3815000,13.60,22868.15
Nicaragua,1998,39.67,4858,4937320,8.03,983.93
Niger,1998,22.42,2859,10215806,2.20,279.86
Nigeria,1998,413.22,64121,116867371,3.54,548.66
Niue,1998,0.06,9.91,2010,28.76,4930.35
Norway,1998,38.25,258882,4431464,8.63,58419.07
Oman,1998,55.78,28279,2171135,25.69,13024.98
Pakistan,1998,231.61,79409,137139290,1.69,579.04
Palau,1998,0.03,184,18524,1.81,9933.06
Panama,1998,29.50,11733,2933100,10.06,4000.20
Papua New Guinea,1998,98.98,4405,5104516,19.39,862.96
Paraguay,1998,99.28,8247,5130723,19.35,1607.38
Peru,1998,101.62,58333,25206817,4.03,2314.18
Philippines,1998,123.46,76516,74393147,1.66,1028.54
Poland,1998,360.71,241329,38663481,9.33,6241.78
Portugal,1998,74.39,175264,10160196,7.32,17250.06
Qatar,1998,25.71,26705,550367,46.71,48522.17
Romania,1998,145.73,74012,22507344,6.47,3288.35
Russian Federation,1998,2213.30,484772,147670780,14.99,3282.79
Rwanda,1998,13.88,1548,7169658,1.94,215.91
Saint Kitts & Nevis,1998,0.15,424,44391,3.34,9551.49
Saint Lucia,1998,0.80,816,153066,5.23,5331.03
Saint Vincent & Grenadines,1998,0.16,428,107923,1.45,3965.79
Samoa,1998,-0.44,333,172979,-2.53,1925.09
Sao Tome & Principe,1998,0.11,96,135650,0.79,707.70
Saudi Arabia,1998,262.70,248473,19282965,13.62,12885.62
Senegal,1998,25.23,6318,9387783,2.69,673.00
Serbia,1998,39.87,20518,7567745,5.27,2711.24
Seychelles,1998,0.50,899,78846,6.29,11401.97
Sierra Leone,1998,9.44,1094,3961869,2.38,276.13
Singapore,1998,43.68,86883,3927200,11.12,22123.40
Slovakia,1998,39.96,48524,5390516,7.41,9001.74
Slovenia,1998,9.53,27781,1981629,4.81,14019.27
Solomon Islands,1998,2.10,461,390493,5.37,1180.56
South Africa,1998,380.82,200179,41899683,9.09,4777.58
Spain,1998,293.24,890388,39721108,7.38,22415.99
Sri Lanka,1998,36.12,18172,18784000,1.92,967.42
Sudan,1998,182.78,17741,26491253,6.90,669.69
Suriname,1998,5.62,1371,453920,12.39,3020.36
Swaziland,1998,3.06,2222,1028694,2.97,2160.02
Sweden,1998,75.42,312128,8850974,8.52,35264.82
Switzerland,1998,49.61,358127,7110001,6.98,50369.47
Syria,1998,75.91,22889,15591261,4.87,1468.07
Tajikistan,1998,7.00,1291,6012933,1.16,214.70
Tanzania,1998,153.59,9145,32378333,4.74,282.44
Thailand,1998,246.83,125689,60903042,4.05,2063.76
Togo,1998,12.96,1968,4620710,2.80,425.91
Tonga,1998,0.24,218,96991,2.50,2247.63
Trinidad & Tobago,1998,22.42,9890,1262544,17.76,7833.39
Tunisia,1998,25.29,23736,9333300,2.71,2543.15
Turkey,1998,261.34,374661,61308204,4.26,6111.11
Turkmenistan,1998,55.91,5144,4395293,12.72,1170.34
Uganda,1998,37.20,5848,22780451,1.63,256.71
Ukraine,1998,370.41,56332,50143939,7.39,1123.41
United Arab Emirates,1998,108.34,121959,2753498,39.35,44292.39
United Kingdom,1998,665.15,1950202,58487141,11.37,33344.12
United States,1998,6281.11,10591880,275854000,22.77,38396.69
Uruguay,1998,9.05,17891,3291677,2.75,5435.22
Uzbekistan,1998,207.08,10156,24051000,8.61,422.27
Vanuatu,1998,0.58,355,178074,3.24,1993.55
Venezuela,1998,338.78,131573,23482700,14.43,5602.98
Vietnam,1998,75.59,36903,75456300,1.00,489.06
World,1998,35683.95,37828678,5942982003,6.00,6365.27
Yemen,1998,17.94,12373,16564235,1.08,746.97
Zambia,1998,113.45,5672,9577483,11.85,592.22
Zimbabwe,1998,68.63,8786,12229500,5.61,718.43
Afghanistan,1999,18.02,"2,720",19987071,0.90,136.09
Albania,1999,6.88,6004,3108778,2.21,1931.31
Algeria,1999,117.31,77197,31276295,3.75,2468.23
Angola,1999,125.79,16741,13510616,9.31,1239.10
Antigua & Barbuda,1999,0.56,806,76041,7.40,10599.54
Argentina,1999,352.25,203566,36514558,9.65,5574.93
Armenia,1999,6.24,2601,3093820,2.02,840.71
Australia,1999,585.42,568961,18926000,30.93,30062.40
Austria,1999,64.05,279514,7992324,8.01,34972.81
Azerbaijan,1999,54.76,6332,7982750,6.86,793.21
"Bahamas, The",1999,0.68,6816,293442,2.31,23227.76
Bahrain,1999,20.94,11792,640913,32.67,18398.75
Bangladesh,1999,138.80,43673,129966823,1.07,336.03
Barbados,1999,3.13,3605,266220,11.77,13541.43
Belarus,1999,73.26,19888,10035000,7.30,1981.86
Belgium,1999,150.90,342862,10226419,14.76,33527.08
Belize,1999,12.19,761,231860,52.57,3282.15
Benin,1999,22.29,3399,6740491,3.31,504.27
Bhutan,1999,-5.21,523,548599,-9.50,953.34
Bolivia,1999,117.32,8001,8322408,14.10,961.38
Bosnia & Herzegovina,1999,5.10,8114,3752004,1.36,2162.58
Botswana,1999,28.17,8151,1724924,16.33,4725.43
Brazil,1999,1774.90,737249,172006362,10.32,4286.17
Brunei,1999,17.02,8364,324501,52.45,25774.96
Bulgaria,1999,46.95,21419,8210624,5.72,2608.69
Burkina Faso,1999,28.05,3940,11281942,2.49,349.23
Burundi,1999,7.97,1012,6545273,1.22,154.62
Cambodia,1999,48.19,3702,11960467,4.03,309.52
Cameroon,1999,193.93,13273,15513653,12.50,855.57
Canada,1999,707.24,976834,30499200,23.19,32028.18
Cape Verde,1999,-0.19,644,434168,-0.45,1483.30
Central African Republic,1999,61.67,1264,3569523,17.28,354.11
Chad,1999,40.88,3077,8002899,5.11,384.49
Chile,1999,63.90,96894,15265536,4.19,6347.24
China,1999,4102.97,1306832,1252735000,3.28,1043.18
Colombia,1999,178.71,117467,39234115,4.55,2994.00
Comoros,1999,0.48,306,515028,0.93,594.14
"Congo, Dem. Rep.",1999,201.22,10662,45889100,4.38,232.34
"Congo, Rep.",1999,16.00,4637,3044444,5.26,1523.10
Cook Islands,1999,0.08,100,,#DIV/0!,#DIV/0!
Costa Rica,1999,16.23,16052,3841734,4.23,4178.32
Cote d'Ivoire,1999,20.03,17742,15802248,1.27,1122.75
Croatia,1999,13.40,35131,4554000,2.94,7714.32
Cuba,1999,16.86,31513,11101580,1.52,2838.60
Cyprus,1999,7.25,13802,925491,7.84,14913.17
Czech Republic,1999,119.52,107559,10283860,11.62,10459.01
Denmark,1999,71.02,238510,5321799,13.34,44817.55
Djibouti,1999,1.16,610,711652,1.62,857.16
Dominica,1999,0.15,336,69902,2.09,4806.73
Dominican Republic,1999,24.44,27036,8527881,2.87,3170.31
Ecuador,1999,117.49,32400,12286995,9.56,2636.93
Egypt,1999,169.09,71562,65097777,2.60,1099.30
El Salvador,1999,11.86,14898,5928809,2.00,2512.81
Equatorial Guinea,1999,12.60,1940,502169,25.10,3863.24
Eritrea,1999,7.21,999,3795384,1.90,263.21
Estonia,1999,26.54,9045,1380620,19.22,6551.40
Ethiopia,1999,103.95,8558,64158887,1.62,133.39
European Union (15),1999,3620.02,11823294,376782411,9.61,31379.63
European Union (28),1999,4467.53,12498345,482625992,9.26,25896.54
Fiji,1999,1.49,2713,806857,1.84,3362.43
Finland,1999,49.40,170306,5165474,9.56,32970.06
France,1999,497.37,1954259,60495470,8.22,32304.22
Gabon,1999,6.80,8104,1195919,5.68,6776.38
"Gambia, The",1999,4.82,510,1193143,4.04,427.44
Georgia,1999,8.63,4420,4452500,1.94,992.70
Germany,1999,926.28,2696865,82100243,11.28,32848.44
Ghana,1999,54.99,8094,18384302,2.99,440.27
Greece,1999,108.39,197132,10882580,9.96,18114.45
Grenada,1999,1.75,547,101441,17.30,5392.30
Guatemala,1999,33.33,22625,10941913,3.05,2067.74
Guinea,1999,23.94,2463,8600911,2.78,286.37
Guinea-Bissau,1999,3.38,511,1245530,2.71,410.27
Guyana,1999,7.24,807,741046,9.76,1089.00
Haiti,1999,6.25,4233,8433339,0.74,501.94
Honduras,1999,54.06,7286,6107385,8.85,1192.98
Hungary,1999,78.52,87339,10237530,7.67,8531.26
Iceland,1999,2.97,13058,277381,10.72,47076.04
India,1999,1669.64,580362,1025014711,1.63,566.20
Indonesia,1999,1359.52,216277,205946831,6.60,1050.16
Iran,1999,435.55,139129,64858754,6.72,2145.11
Iraq,1999,159.95,48037,23091408,6.93,2080.30
Ireland,1999,65.72,151507,3754786,17.50,40350.37
Israel,1999,66.83,116958,6125000,10.91,19095.18
Italy,1999,495.36,1705511,56916317,8.70,29965.24
Jamaica,1999,12.27,8852,2574289,4.77,3438.62
Japan,1999,1223.85,4212984,126631000,9.66,33269.77
Jordan,1999,19.61,8865,4680000,4.19,1894.23
Kazakhstan,1999,159.69,31767,14928426,10.70,2127.95
Kenya,1999,45.95,15579,30478597,1.51,511.15
Kiribati,1999,0.05,89,81377,0.56,1093.68
"Korea, Dem. Rep. (North)",1999,100.17,10380,22641754,4.42,458.45
"Korea, Rep. (South)",1999,434.61,654916,46616677,9.32,14048.96
Kuwait,1999,134.37,52003,1818405,73.90,28598.14
Kyrgyzstan,1999,6.61,1938,4840400,1.37,400.38
Laos,1999,29.32,1910,5298146,5.53,360.50
Latvia,1999,1.68,10123,2390482,0.70,4234.71
Lebanon,1999,19.54,17153,3156706,6.19,5433.83
Lesotho,1999,2.19,1129,1839611,1.19,613.72
Liberia,1999,16.17,384,2741755,5.90,140.06
Libya,1999,100.85,34647,5092939,19.80,6802.95
Lithuania,1999,23.56,17361,3524238,6.68,4926.17
Luxembourg,1999,9.02,29316,430475,20.95,68101.52
"Macedonia, FYR",1999,11.11,5297,2034487,5.46,2603.60
Madagascar,1999,60.32,4298,15262817,3.95,281.60
Malawi,1999,12.54,2467,11012707,1.14,224.01
Malaysia,1999,-49.27,104602,22896048,-2.15,4568.56
Maldives,1999,0.52,598,267456,1.96,2235.88
Mali,1999,28.81,3781,9977308,2.89,378.96
Malta,1999,2.74,5358,379360,7.21,14123.79
Mauritania,1999,8.97,1497,2627739,3.42,569.69
Mauritius,1999,3.58,4959,1175267,3.05,4219.47
Mexico,1999,584.93,758520,102316781,5.72,7413.45
Moldova,1999,10.31,2079,3647001,2.83,570.06
Mongolia,1999,52.39,1822,2376197,22.05,766.77
Montenegro,1999,3.78,1906,611367,6.18,3117.60
Morocco,1999,41.54,45954,28374203,1.46,1619.57
Mozambique,1999,56.25,4264,17798102,3.16,239.58
Myanmar,1999,184.08,7095,47925630,3.84,148.04
Namibia,1999,17.23,5515,1857149,9.28,2969.61
Nauru,1999,0.11,25,10499,10.88,2381.18
Nepal,1999,65.15,6480,22690158,2.87,285.59
Netherlands,1999,216.67,607190,15812088,13.70,38400.37
New Zealand,1999,54.01,91874,3835100,14.08,23956.09
Nicaragua,1999,40.17,5200,5021079,8.00,1035.63
Niger,1999,22.92,2842,10596258,2.16,268.21
Nigeria,1999,413.65,64425,119831888,3.45,537.63
Niue,1999,0.06,9.94,1956,29.96,5081.80
Norway,1999,39.94,264126,4461913,8.95,59195.69
Oman,1999,60.10,28243,2172287,27.66,13001.50
Pakistan,1999,243.91,82316,140580398,1.74,585.54
Palau,1999,0.03,174,18878,1.80,9217.08
Panama,1999,28.78,12193,2993685,9.61,4072.91
Papua New Guinea,1999,98.35,4487,5240941,18.77,856.14
Paraguay,1999,102.20,8135,5240321,19.50,1552.39
Peru,1999,105.64,59205,25611482,4.12,2311.66
Philippines,1999,128.05,78874,76018006,1.68,1037.57
Poland,1999,349.70,252248,38660271,9.05,6524.73
Portugal,1999,81.10,182078,10217828,7.94,17819.64
Qatar,1999,27.99,27849,572155,48.93,48673.87
Romania,1999,130.09,73124,22472040,5.79,3254.00
Russian Federation,1999,2212.59,515797,147214777,15.03,3503.70
Rwanda,1999,13.93,1666,7853015,1.77,212.15
Saint Kitts & Nevis,1999,0.15,446,44938,3.34,9924.79
Saint Lucia,1999,0.81,835,155073,5.25,5384.56
Saint Vincent & Grenadines,1999,0.16,447,107879,1.49,4143.53
Samoa,1999,-0.42,340,173758,-2.44,1956.74
Sao Tome & Principe,1999,0.11,99,137396,0.78,720.54
Saudi Arabia,1999,268.10,246613,19620692,13.66,12569.03
Senegal,1999,27.38,6719,9618564,2.85,698.55
Serbia,1999,40.92,18026,7540401,5.43,2390.59
Seychelles,1999,0.57,916,80410,7.08,11391.62
Sierra Leone,1999,9.21,1072,4030443,2.28,265.98
Singapore,1999,44.39,92179,3958700,11.21,23285.17
Slovakia,1999,38.62,48426,5396020,7.16,8974.39
Slovenia,1999,8.93,29246,1983045,4.50,14748.03
Solomon Islands,1999,2.11,458,401323,5.25,1141.23
South Africa,1999,363.55,204984,42923485,8.47,4775.57
Spain,1999,314.62,930320,39926268,7.88,23300.95
Sri Lanka,1999,37.67,18953,19056000,1.98,994.59
Sudan,1999,187.44,18292,27085465,6.92,675.34
Suriname,1999,5.47,1359,460215,11.90,2952.97
Swaziland,1999,3.04,2288,1048151,2.90,2182.89
Sweden,1999,74.04,326268,8857874,8.36,36833.67
Switzerland,1999,49.58,364013,7143991,6.94,50953.73
Syria,1999,75.06,22076,15995760,4.69,1380.12
Tajikistan,1999,6.60,1339,6094661,1.08,219.70
Tanzania,1999,153.57,9588,33183093,4.63,288.94
Thailand,1999,255.78,131280,61623143,4.15,2130.37
Togo,1999,13.17,2017,4740974,2.78,425.44
Tonga,1999,0.27,226,97457,2.74,2318.97
Trinidad & Tobago,1999,23.34,10324,1264781,18.45,8162.68
Tunisia,1999,26.46,25173,9455900,2.80,2662.15
Turkey,1999,259.72,362052,62243779,4.17,5816.68
Turkmenistan,1999,62.68,5993,4449427,14.09,1346.92
Uganda,1999,36.84,6319,23507800,1.57,268.80
Ukraine,1999,363.28,56220,49673350,7.31,1131.79
United Arab Emirates,1999,110.78,125498,2893648,38.28,43370.17
United Kingdom,1999,656.00,2011656,58682466,11.18,34280.36
United States,1999,6308.60,11098861,279040000,22.61,39775.16
Uruguay,1999,10.03,17544,3308884,3.03,5302.09
Uzbekistan,1999,210.95,10592,24311650,8.68,435.68
Vanuatu,1999,0.58,357,181346,3.18,1968.61
Venezuela,1999,321.32,123717,23945002,13.42,5166.71
Vietnam,1999,79.56,38664,76596700,1.04,504.77
World,1999,35828.68,39105670,6023027888,5.95,6492.69
Yemen,1999,19.52,12840,17035531,1.15,753.72
Zambia,1999,107.42,5936,9839179,10.92,603.30
Zimbabwe,1999,70.63,8714,12384727,5.70,703.61
Afghanistan,2000,16.61,"3,532",20595360,0.81,171.49
Albania,2000,7.18,6442,3089027,2.32,2085.45
Algeria,2000,121.01,78895,31719449,3.81,2487.28
Angola,2000,123.27,17246,13924930,8.85,1238.50
Antigua & Barbuda,2000,0.58,846,77648,7.43,10895.32
Argentina,2000,353.17,201960,36903067,9.57,5472.72
Armenia,2000,6.53,2755,3076098,2.12,895.62
Australia,2000,603.22,590991,19153000,31.49,30856.31
Austria,2000,64.01,288930,8011566,7.99,36064.11
Azerbaijan,2000,56.29,7035,8048600,6.99,874.07
"Bahamas, The",2000,0.70,7099,297759,2.34,23841.43
Bahrain,2000,21.38,12417,668239,31.99,18581.68
Bangladesh,2000,141.92,46269,132383265,1.07,349.51
Barbados,2000,3.12,3688,267190,11.67,13802.91
Belarus,2000,72.80,21041,10005000,7.28,2103.05
Belgium,2000,141.45,355035,10251250,13.80,34633.34
Belize,2000,12.46,860,238586,52.23,3604.57
Benin,2000,22.40,3565,6949366,3.22,513.00
Bhutan,2000,-5.29,560,564350,-9.38,992.29
Bolivia,2000,109.20,8201,8495271,12.85,965.36
Bosnia & Herzegovina,2000,9.12,8561,3834364,2.38,2232.70
Botswana,2000,27.12,8313,1755375,15.45,4735.74
Brazil,2000,1778.98,768993,174504898,10.19,4406.71
Brunei,2000,17.60,8602,331801,53.04,25925.18
Bulgaria,2000,46.22,22713,8170172,5.66,2779.99
Burkina Faso,2000,27.71,4012,11607944,2.39,345.63
Burundi,2000,8.04,1003,6674286,1.20,150.28
Cambodia,2000,46.74,4027,12222871,3.82,329.46
Cameroon,2000,195.18,13827,15927713,12.25,868.11
Canada,2000,707.00,1026878,30769700,22.98,33373.03
Cape Verde,2000,-0.17,736,442426,-0.37,1663.56
Central African Republic,2000,63.16,1233,3638316,17.36,338.89
Chad,2000,40.33,3050,8301151,4.86,367.42
Chile,2000,59.30,101251,15454402,3.84,6551.60
China,2000,4371.05,1417014,1262645000,3.46,1122.26
Colombia,2000,182.71,122659,39897984,4.58,3074.32
Comoros,2000,0.47,311,528312,0.90,588.67
"Congo, Dem. Rep.",2000,197.62,9925,46949244,4.21,211.40
"Congo, Rep.",2000,15.72,4988,3126204,5.03,1595.55
Cook Islands,2000,0.06,103,20407,3.08,5047.29
Costa Rica,2000,16.04,16341,3750585,4.28,4356.92
Cote d'Ivoire,2000,18.52,17086,15436470,1.20,1106.86
Croatia,2000,12.89,36455,4501000,2.86,8099.31
Cuba,2000,16.87,33378,11063917,1.52,3016.83
Cyprus,2000,7.58,14498,908040,8.35,15966.26
Czech Republic,2000,130.09,112177,10294373,12.64,10896.92
Denmark,2000,66.90,247447,5304219,12.61,46650.98
Djibouti,2000,1.10,612,699922,1.57,874.38
Dominica,2000,0.17,338,70295,2.42,4808.31
Dominican Republic,2000,25.35,28565,8392534,3.02,3403.62
Ecuador,2000,118.59,32753,12042454,9.85,2719.79
Egypt,2000,169.32,75404,64084443,2.64,1176.64
El Salvador,2000,11.73,15219,5895018,1.99,2581.67
Equatorial Guinea,2000,13.90,2293,3668350,3.79,625.08
Eritrea,2000,7.19,968,3668350,1.96,263.88
Estonia,2000,26.32,9922,1386156,18.99,7157.92
Ethiopia,2000,100.56,9078,62353942,1.61,145.59
European Union (15),2000,3771.72,12281590,375675535,10.04,32692.01
European Union (28),2000,4608.54,12983540,481667296,9.57,26955.41
Fiji,2000,1.53,2667,800616,1.91,3331.18
Finland,2000,48.12,179902,5153498,9.34,34908.72
France,2000,488.91,2029989,60185178,8.12,33729.05
Gabon,2000,6.33,7952,1166525,5.43,6816.83
"Gambia, The",2000,4.93,538,1159271,4.25,464.08
Georgia,2000,9.37,4501,4487300,2.09,1003.05
Germany,2000,914.70,2777363,82047195,11.15,33850.80
Ghana,2000,55.60,8394,17968830,3.09,467.14
Greece,2000,116.38,204953,10834880,10.74,18916.04
Grenada,2000,1.76,557,101302,17.40,5498.41
Guatemala,2000,35.62,23442,10691090,3.33,2192.67
Guinea,2000,24.25,2525,8457221,2.87,298.56
Guinea-Bissau,2000,3.10,538,1218336,2.55,441.59
Guyana,2000,6.91,796,737526,9.37,1079.28
Haiti,2000,6.68,4270,8285690,0.81,515.35
Honduras,2000,54.91,7705,5980152,9.18,1288.43
Hungary,2000,75.75,91043,10266570,7.38,8867.91
Iceland,2000,3.10,13677,274047,11.31,49907.50
India,2000,1720.19,602654,1007746556,1.71,598.02
Indonesia,2000,1372.32,226918,202990922,6.76,1117.87
Iran,2000,451.53,146284,63713397,7.09,2295.97
Iraq,2000,184.69,48713,22387179,8.25,2175.93
Ireland,2000,67.24,165932,3712696,18.11,44693.13
Israel,2000,71.61,127394,5971000,11.99,21335.45
Italy,2000,498.15,1768789,56906744,8.75,31082.24
Jamaica,2000,12.38,8985,2556780,4.84,3514.19
Japan,2000,1239.32,4308092,126400000,9.80,34083.01
Jordan,2000,19.41,9241,4564000,4.25,2024.76
Kazakhstan,2000,157.45,34880,15071300,10.45,2314.33
Kenya,2000,44.83,15673,29702246,1.51,527.67
Kiribati,2000,0.05,98,80018,0.63,1224.72
"Korea, Dem. Rep. (North)",2000,105.33,10608,22444993,4.69,472.62
"Korea, Rep. (South)",2000,490.35,712754,46286503,10.59,15398.74
Kuwait,2000,137.40,54444,1722208,79.78,31612.91
Kyrgyzstan,2000,6.48,2043,4769000,1.36,428.39
Laos,2000,28.79,2021,5200898,5.54,388.59
Latvia,2000,0.96,10823,2410019,0.40,4490.84
Lebanon,2000,18.03,17383,3114014,5.79,5582.18
Lesotho,2000,2.14,1187,1821609,1.17,651.62
Liberia,2000,16.21,482,2558085,6.34,188.42
Libya,2000,102.69,35929,5009240,20.50,7172.55
Lithuania,2000,22.00,17925,3549331,6.20,5050.25
Luxembourg,2000,9.15,31791,424700,21.54,74855.19
"Macedonia, FYR",2000,10.86,5538,2013117,5.39,2750.96
Madagascar,2000,58.94,4503,14790245,3.99,304.46
Malawi,2000,12.47,2506,10700180,1.17,234.20
Malaysia,2000,-35.49,113868,22355057,-1.59,5093.61
Maldives,2000,0.56,624,261973,2.14,2381.92
Mali,2000,27.48,3902,9712365,2.83,401.76
Malta,2000,2.47,5721,377516,6.53,15154.32
Mauritania,2000,9.38,1525,2550307,3.68,597.97
Mauritius,2000,3.90,5406,1160421,3.36,4658.65
Mexico,2000,607.18,798694,100678867,6.03,7933.08
Moldova,2000,9.64,2123,3652732,2.64,581.21
Mongolia,2000,55.15,1843,2355618,23.41,782.38
Montenegro,2000,3.80,1965,611947,6.21,3211.06
Morocco,2000,42.52,46686,28013585,1.52,1666.55
Mozambique,2000,54.06,4311,17350739,3.12,248.46
Myanmar,2000,181.51,9073,47321204,3.84,191.73
Namibia,2000,18.00,5708,1809719,9.95,3154.08
Nauru,2000,0.11,22,10377,10.30,2120.07
Nepal,2000,66.08,6882,22175431,2.98,310.34
Netherlands,2000,217.87,633769,15707209,13.87,40348.93
New Zealand,2000,55.08,93981,3815000,14.44,24634.60
Nicaragua,2000,40.71,5413,4937320,8.24,1096.34
Niger,2000,23.39,2802,10215806,2.29,274.28
Nigeria,2000,420.36,67851,116867371,3.60,580.58
Niue,2000,0.06,9.98,1899,31.33,5255.40
Norway,2000,35.10,272720,4431464,7.92,61541.74
Oman,2000,63.11,29769,2171135,29.07,13711.26
Pakistan,2000,245.71,85822,137139290,1.79,625.80
Palau,2000,-0.06,177,18524,-3.38,9555.17
Panama,2000,29.06,12524,2933100,9.91,4269.89
Papua New Guinea,2000,98.24,4375,5104516,19.25,857.08
Paraguay,2000,97.57,7946,5130723,19.02,1548.71
Peru,2000,105.94,60800,25206817,4.20,2412.05
Philippines,2000,129.91,82354,74393147,1.75,1107.01
Poland,2000,335.72,262993,38663481,8.68,6802.10
Portugal,2000,80.57,188974,10160196,7.93,18599.44
Qatar,2000,27.33,30084,550367,49.66,54661.71
Romania,2000,131.80,74659,22507344,5.86,3317.10
Russian Federation,2000,2263.53,567377,147670780,15.33,3842.18
Rwanda,2000,14.06,1804,7169658,1.96,251.62
Saint Kitts & Nevis,2000,0.15,456,44391,3.42,10272.35
Saint Lucia,2000,0.83,872,153066,5.40,5696.89
Saint Vincent & Grenadines,2000,0.14,443,107923,1.31,4104.78
Samoa,2000,-0.41,364,172979,-2.36,2104.30
Sao Tome & Principe,2000,0.11,103,135650,0.79,759.31
Saudi Arabia,2000,279.70,258610,19282965,14.51,13411.32
Senegal,2000,27.54,6934,9387783,2.93,738.62
Serbia,2000,42.53,19425,7567745,5.62,2566.81
Seychelles,2000,0.62,930,78846,7.88,11795.14
Sierra Leone,2000,9.18,1143,3961869,2.32,288.50
Singapore,2000,48.79,100380,3927200,12.42,25560.20
Slovakia,2000,36.43,49014,5390516,6.76,9092.64
Slovenia,2000,8.58,30462,1981629,4.33,15372.20
Solomon Islands,2000,2.11,393,390493,5.42,1006.42
South Africa,2000,370.19,213593,41899683,8.84,5097.72
Spain,2000,332.60,979526,39721108,8.37,24660.09
Sri Lanka,2000,39.10,20090,18784000,2.08,1069.53
Sudan,2000,191.50,19453,26491253,7.23,734.32
Suriname,2000,5.37,1358,453920,11.83,2991.72
Swaziland,2000,3.02,2328,1028694,2.93,2263.06
Sweden,2000,70.07,341717,8850974,7.92,38607.84
Switzerland,2000,48.69,378377,7110001,6.85,53217.57
Syria,2000,74.92,22681,15591261,4.81,1454.73
Tajikistan,2000,6.14,1450,6012933,1.02,241.15
Tanzania,2000,148.77,10061,32378333,4.59,310.73
Thailand,2000,256.43,137515,60903042,4.21,2257.93
Togo,2000,13.06,2001,4620710,2.83,433.05
Tonga,2000,0.26,234,96991,2.64,2412.59
Trinidad & Tobago,2000,24.16,10957,1262544,19.14,8678.51
Tunisia,2000,27.76,26359,9333300,2.97,2824.19
Turkey,2000,285.13,386579,61308204,4.65,6305.50
Turkmenistan,2000,65.41,6320,4395293,14.88,1437.90
Uganda,2000,36.68,6518,22780451,1.61,286.12
Ukraine,2000,351.47,59536,50143939,7.01,1187.30
United Arab Emirates,2000,114.66,139118,2753498,41.64,50524.10
United Kingdom,2000,655.58,2087473,58487141,11.21,35691.14
United States,2000,6486.67,11552660,275854000,23.51,41879.62
Uruguay,2000,8.00,17205,3291677,2.43,5226.82
Uzbekistan,2000,210.33,10995,24051000,8.75,457.15
Vanuatu,2000,0.55,378,178074,3.11,2122.71
Venezuela,2000,333.07,128279,23482700,14.18,5462.70
Vietnam,2000,87.81,41289,75456300,1.16,547.19
World,2000,36679.72,40770143,5942982003,6.17,6860.22
Yemen,2000,20.43,13634,16564235,1.23,823.10
Zambia,2000,109.05,6167,9577483,11.39,643.91
Zimbabwe,2000,67.70,8447,12229500,5.54,690.71
Afghanistan,2001,15.14,"2,500",19987071,0.76,125.08
Albania,2001,7.84,6893,3108778,2.52,2217.27
Algeria,2001,118.25,82534,31276295,3.78,2638.87
Angola,2001,121.35,17974,13510616,8.98,1330.36
